,Make,Model,Price,Valves_Per_Cylinder,Emission_Norm,Fuel_Tank_Capacity,Height,Width,Doors,City_Mileage,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Torque,Seating_Capacity,Audiosystem,Basic_Warranty,Central_Locking,Cup_Holders,Minimum_Turning_Radius,Drive_Modes,Voice_Recognition,ABS_(Anti-lock_Braking_System),Gross_Vehicle_Weight,Parking_Assistance,EBA_(Electronic_Brake_Assist),Navigation_System,Rain_Sensing_Wipers,Automatic_Headlamps
125,Hyundai,Elite I2,721693.00,4.00,BS IV,45.00,155.00,1734.00,5.00,13.3,Ventilated Disc,Drum,McPherson strut with coil spring,Coupled Torsion Beam Axle with coil spring,Electric Power,All Windows,NO,Remote,84PS@6rpm,115Nm@4rpm,5,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Front,5.2 meter,NO,NO,Yes,117 kg,Rear sensors with camera,NO,Yes,NO,NO
127,Hyundai,Elite I2,889930.00,4.00,BS IV,45.00,155.00,1734.00,5.00,13.3,Ventilated Disc,Drum,McPherson strut with coil spring,Coupled Torsion Beam Axle with coil spring,Electric Power,All Windows,NO,Smart Key,84PS@6rpm,114Nm@4rpm,5,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Front,5.2 meter,NO,NO,Yes,117 kg,Rear sensors with camera,NO,Yes,NO,Yes
128,Hyundai,Elite I2,934300.00,4.00,BS IV,45.00,155.00,1734.00,5.00,18.4,Ventilated Disc,Drum,McPherson strut & coil spring,Coupled Torsion Beam Axle with coil spring,Electric Power,All Windows,NO,Smart Key,9PS@4rpm,22Nm@15-275rpm,5,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Front,5.2 meter,NO,NO,Yes,117 kg,Rear sensors with camera,NO,Yes,NO,Yes
131,Hyundai,Elite I2,831693.00,4.00,BS IV,45.00,155.00,1734.00,5.00,13.3,Ventilated Disc,Drum,McPherson strut with coil spring,Coupled Torsion Beam Axle with coil spring,Electric Power,All Windows,NO,Remote,84PS@6rpm,115Nm@4rpm,5,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Front,5.2 meter,NO,NO,Yes,117 kg,Rear sensors with camera,NO,Yes,NO,NO
146,Volkswagen,Polo,676500.00,4.00,BS IV,45.00,1469.00,1682.00,5.00,14,Ventilated Disc,Drum,McPherson strut with stabiliser bar,Semi-independent trailing arm,Electric Power,All Windows,NO,Remote,76PS@62RPM,95Nm@3-43rpm,5,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Front,4.97 meter,NO,NO,Yes,152 kg,NO,NO,Yes,NO,NO
149,Volkswagen,Polo,851500.00,4.00,BS IV,45.00,1469.00,1682.00,5.00,19,Ventilated Disc,Drum,McPherson strut with stabiliser bar,Semi-independent trailing arm,Electric Power,All Windows,NO,Remote,9PS@42rpm,23Nm@15-25rpm,5,CD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Front,4.97 meter,NO,NO,Yes,162 kg,NO,NO,Yes,NO,NO
246,Skoda,Superb Sportline,289959.00,4.00,BS IV,66.00,1483.00,1864.00,4.00,11.3,Ventilated Disc,Ventilated Disc,McPherson suspension with lower triangular links and torsion stabiliser,"multi-element axle, with one longitudinal and transverse links, with torsion stabiliser",Electro-Hydraulic,All Windows,"Yes, with memory",Smart Key,18PS@62RPM,25NM@125-5rpm,5,CD/MP3/DVD Player with USB & Aux-in,3 years / Unlimited Kms,Yes,Front & Rear,5.4 meter,NO,NO,Yes,23 kg,Front and rear sensors with camera,Yes,Yes,Yes,Yes
259,Skoda,Kodiaq,329959.00,4.00,BS IV,66.00,1483.00,1864.00,4.00,15.1,Ventilated Disc,Ventilated Disc,McPherson suspension with lower triangular links and torsion stabilizer,"Multi-element axle, with one longitudinal and three transverse links, with torsion stabiliser",Electro-Hydraulic,All Windows,Yes,Smart Key,177PS@4RPM,35Nm@15-35rpm,5,CD/MP3/DVD Player with USB & Aux-in,3 years / Unlimited Kms,Yes,Front & Rear,11.1 meter,NO,NO,Yes,26 kg,Front and rear sensors with camera,Yes,Yes,Yes,Yes
260,Skoda,Kodiaq,367859.00,4.00,BS IV,66.00,1483.00,1864.00,4.00,15.1,Ventilated Disc,Ventilated Disc,McPherson suspension with lower triangular links and torsion stabilizer,"Multi-element axle, with one longitudinal and three transverse links, with torsion stabiliser",Electro-Hydraulic,All Windows,Yes,Smart Key,148bhp@4RPM,34Nm@15-35rpm,5,CD/MP3/DVD Player with USB & Aux-in,3 years / Unlimited Kms,Yes,Front & Rear,11.1 meter,NO,NO,Yes,26 kg,Front and rear sensors with camera,Yes,Yes,Yes,Yes
261,Skoda,Kodiaq,329959.00,4.00,BS IV,66.00,1483.00,1864.00,4.00,15.1,Ventilated Disc,Ventilated Disc,McPherson suspension with lower triangular links and torsion stabilizer,"Multi-element axle, with one longitudinal and three transverse links, with torsion stabiliser",Electro-Hydraulic,All Windows,Yes,Smart Key,177PS@4RPM,35Nm@15-35rpm,5,CD/MP3/DVD Player with USB & Aux-in,3 years / Unlimited Kms,Yes,Front & Rear,11.1 meter,NO,NO,Yes,26 kg,Front and rear sensors with camera,Yes,Yes,Yes,Yes
263,Audi,Q3,306772.00,4.00,BS IV,64.00,168.00,1831.00,5.00,12,Ventilated Disc,Ventilated Disc,"Mac Pherson type with coil spring, stabiliser bar and double acting shock absorber","Four-link rear suspension with separate spring/shock absorber arrangement, subframe, aluminum wheel",Electric Power,Only Front Windows,"Yes, with memory",Smart Key,148hp@35-4rpm,34Nm@175-275rpm,5,DVD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Front & Rear,5.9 meter,NO,NO,Yes,2185 kg,Rear sensors with camera,Yes,Yes,Yes,Yes
264,Audi,Q3,399202.00,4.00,BS IV,64.00,168.00,1831.00,5.00,12,Ventilated Disc,Ventilated Disc,"McPherson struts with aluminum lower wishbones, steel pivot bearings, aluminum subframe, tubular ant","Four-link rear suspension with separate spring/shock absorber arrangement, subframe, aluminum wheel",Electric Power,All Windows,Yes,Smart Key,177PS@42rpm,38Nm@175-25rpm,5,DVD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Front & Rear,5.9 meter,NO,NO,Yes,2185 kg,Rear sensors with camera,Yes,Yes,Yes,Yes
265,Audi,Q3,430061.00,4.00,BS IV,64.00,168.00,1831.00,5.00,12,Ventilated Disc,Ventilated Disc,"Mac Pherson type with coil spring, stabiliser bar and double acting shock absorber","Double wishbones, two-way adjustable VPS gas-hydraulic shock absorbers, pushrod operated",Electric Power,All Windows,"Yes, with memory",Smart Key,177PS@42rpm,38Nm@175-25rpm,5,DVD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Front & Rear,5.9 meter,NO,NO,Yes,2185 kg,Rear sensors with camera,Yes,Yes,Yes,Yes
266,Audi,Q3,349675.00,4.00,BS IV,64.00,168.00,1831.00,5.00,12,Ventilated Disc,Ventilated Disc,"Mac Pherson type with coil spring, stabiliser bar and double acting shock absorber","Double wishbones, two-way adjustable VPS gas-hydraulic shock absorbers, pushrod operated",Electric Power,All Windows,"Yes, with memory",Smart Key,15PS@42rpm,25Nm@175-25rpm,5,DVD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Front & Rear,5.9 meter,NO,NO,Yes,2185 kg,Rear sensors with camera,Yes,Yes,Yes,Yes
279,Jaguar,Xf,543632.00,4.00,BS IV,74.00,146.00,291.00,4.00,5.7,Ventilated Disc,Ventilated Disc,Adaptive Dynamics system,Adaptive Dynamics system,Electric Power,All Windows,"Yes, with memory",NO,247PS@55rpm,34Nm@175-2RPM,5,CD/MP3/DVD Player with USB & Aux-in,"3 Years/1,, Kms (Whichever comes earlier)",Yes,Yes,11.61 meter,NO,NO,Yes,221 kg,Front & rear sensors with 36 degree view,Yes,Yes,Yes,Yes
280,Jaguar,Xf,673446.00,4.00,BS IV,82.00,1457.00,1899.00,4.00,5.7,Ventilated Disc,Ventilated Disc,Adaptive Dynamics system,Adaptive Dynamics system,Electric Power,All Windows,Yes,Smart Key,247PS@55rpm,34Nm@175-2RPM,5,CD/MP3/DVD Player with USB & Aux-in,"3 Years/1,, Kms (Whichever comes earlier)",Yes,Yes,11.61 meter,NO,NO,Yes,221 kg,Front & rear sensors with 36 degree view,Yes,Yes,Yes,Yes
281,Jaguar,Xf,613881.00,4.00,BS IV,83.00,1457.00,1899.00,4.00,5.7,Ventilated Disc,Ventilated Disc,Adaptive Dynamics system,Adaptive Dynamics system,Electric Power,All Windows,Yes,Smart Key,18ps@55rpm,43Nm@175-2rpm,5,CD/MP3/DVD Player with USB & Aux-in,"3 Years/1,, Kms (Whichever comes earlier)",Yes,Yes,11.61 meter,NO,NO,Yes,225 kg,NO,Yes,Yes,Yes,Yes
282,Jaguar,Xf,556622.00,4.00,BS IV,66.00,1457.00,291.00,4.00,5.7,Ventilated Disc,Ventilated Disc,Adaptive Dynamics system,Adaptive Dynamics system,Electric Power,All Windows,Yes,NO,18ps@55rpm,43Nm@175-2rpm,5,CD/MP3/DVD Player with USB & Aux-in,"3 Years/1,, Kms (Whichever comes earlier)",Yes,Yes,11.61 meter,NO,NO,Yes,225 kg,Front & rear sensors with 36 degree view,Yes,Yes,Yes,Yes
283,Jaguar,Xf,409778.00,4.00,BS IV,66.00,1457.00,291.00,4.00,5.7,Ventilated Disc,Ventilated Disc,Adaptive Dynamics system,Adaptive Dynamics system,Electric Power,All Windows,Yes,NO,18ps@55rpm,43Nm@175-2rpm,5,CD/MP3/DVD Player with USB & Aux-in,"3 Years/1,, Kms (Whichever comes earlier)",Yes,Yes,11.61 meter,NO,NO,Yes,225 kg,Front & rear sensors with 36 degree view,Yes,Yes,Yes,Yes
311,Toyota,Land Cruiser Prado,900063.00,4.00,BS IV,87.00,188.00,1885.00,5.00,7,Ventilated Disc,Ventilated Disc,Double wishbone,4-Link with Air Spring,Electric Power,All Windows,"Yes, with memory",Smart Key,173PS@34rpm,41Nm@16-28rpm,7,DVD Player with USB & Aux-in,3 years /1 Kms (years/distance whichever comes first),Yes,Front & Rear,5.8 meter,NO,NO,Yes,299 kg,Front and rear sensors with camera,Yes,Yes,Yes,Yes
314,Bmw,7-Series,120029.00,4.00,BS 6,78.00,1479.00,2169.00,4.00,13.5,Ventilated Disc,Ventilated Disc,Adaptive 2-axle air suspension,Adaptive 2-axle air suspension,Hydraulic Power,All Windows,Yes,Smart Key,265PS@4RPM,62Nm@2-25RPM,4,CD/MP3/DVD Player with USB & Aux-in,"3 years/4, km",Yes,Front & Rear,7.5 meter,"Normal, Comfort, Eco, Sport",Yes,Yes,256 kg,Front & rear sensors with 36 degree view,Yes,Yes,Yes,Yes
315,Bmw,7-Series,132000.00,4.00,BS 6,78.00,1479.00,2169.00,4.00,13.5,Ventilated Disc,Ventilated Disc,Adaptive 2-axle air suspension,Adaptive 2-axle air suspension,Hydraulic Power,All Windows,Yes,Smart Key,265PS@4RPM,62Nm@2-25RPM,4,CD/MP3/DVD Player with USB & Aux-in,"3 years/4, km",Yes,Front & Rear,7.5 meter,"Normal, Comfort, Eco, Sport",Yes,Yes,256 kg,Front & rear sensors with 36 degree view,Yes,Yes,Yes,Yes
316,Bmw,7-Series,135100.00,4.00,BS 6,78.00,1479.00,2169.00,4.00,13.5,Ventilated Disc,Ventilated Disc,Adaptive 2-axle air suspension,Adaptive 2-axle air suspension,Electric Power,All Windows,Yes,Smart Key,265PS@4RPM,62Nm@2-25RPM,4,CD/MP3/DVD Player with USB & Aux-in,"3 years/4, km",Yes,Front & Rear,7.5 meter,"Normal, Comfort, Eco, Sport",Yes,Yes,256 kg,Front & rear sensors with 36 degree view,Yes,Yes,Yes,Yes
335,Porsche,Panamera,211263.00,4.00,BS IV,9.00,1427.00,1937.00,4.00,7.1,Ventilated Disc,Ventilated Disc,Aluminium Double Wishbone,Aluminium multi-link with chassis subframe,Hydraulic Power,All Windows,Yes,Smart Key,55PS@6RPM,77Nm@196 - 45rpm,4,CD/MP3/DVD Player with USB & Aux-in,4 years / 8 Kms (years/distance whichever comes first),Yes,Front & Rear,5.5 meter,NO,NO,Yes,2585 kg,Front and rear sensors with camera,Yes,Yes,Yes,Yes
336,Porsche,Panamera,226130.00,4.00,BS IV,9.00,1432.00,1937.00,4.00,7.1,Ventilated Disc,Ventilated Disc,Aluminium Double Wishbone,Aluminium multi-link with chassis subframe,Hydraulic Power,All Windows,Yes,Smart Key,55PS@6RPM,77Nm@196 - 45rpm,4,CD/MP3/DVD Player with USB & Aux-in,4 years / 8 Kms (years/distance whichever comes first),Yes,Front & Rear,5.5 meter,NO,NO,Yes,2635 kg,Front and rear sensors with camera,Yes,Yes,Yes,Yes
337,Porsche,Panamera,211747.00,4.00,BS IV,9.00,1432.00,1937.00,4.00,7.1,Ventilated Disc,Ventilated Disc,Aluminium Double Wishbone,Aluminium multi-link with chassis subframe,Hydraulic Power,All Windows,Yes,Smart Key,55PS@6RPM,77Nm@196 - 45rpm,4,CD/MP3/DVD Player with USB & Aux-in,4 years / 8 Kms (years/distance whichever comes first),Yes,Front & Rear,5.5 meter,NO,NO,Yes,2635 kg,Front and rear sensors with camera,Yes,Yes,Yes,Yes
342,Bentley,Continental Gt,339159.00,4.00,BS IV,9.00,141.00,2226.00,2.00,5.3,Ventilated Disc,Ventilated Disc,Air springs with continous damping control,Air springs with continous damping control,Electric Power,All Windows,Yes,Smart Key,59PS@6rpm,72Nm@18rpm,4,DVD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Front & Rear,5.6 meter,NO,NO,Yes,275 kg,Front and rear sensors with camera,Yes,Yes,Yes,Yes
351,Bentley,Mulsanne,551294.00,4.00,BS IV,9.00,1521.00,228.00,4.00,6.2,Ventilated Disc,Ventilated Disc,Air springs with continous damping control,Air springs with continous damping control,Electric Power,All Windows,Yes,Smart Key,512PS@42rpm,12Nm@175rpm,4,DVD Player with USB & Aux-in,2 years / Unlimited Kms,Yes,Front & Rear,5.9 meter,NO,NO,Yes,32 kg,Front and rear sensors with camera,Yes,Yes,Yes,Yes
460,Tata,Zest,732475.00,4.00,BS IV,44.00,157.00,176.00,4.00,13.2,Ventilated Disc,Drum,Dual Path Independent McPherson strut with Coil Springs and Antiroll Bar,Twist Beam with Coil spring and Shock Absorber,Electric Power,All Windows,NO,Remote,9PS@5rpm,14Nm@175-3rpm,5,DVD Player with USB & Aux-in,2 years /75 Kms (years/distance whichever comes first),Yes,Front,5.1 meter,NO,NO,Yes,1531 kg,Rear sensors with camera,NO,Yes,NO,NO
463,Tata,Zest,855362.00,4.00,BS IV,44.00,157.00,176.00,4.00,19.2,Ventilated Disc,Drum,Dual Path Independent McPherson strut with Coil Springs and Antiroll Bar,Twist Beam with Coil spring and Shock Absorber,Electric Power,All Windows,NO,Remote,9PS@4rpm,2NM@175-3rpm,5,DVD Player with USB & Aux-in,2 years /75 Kms (years/distance whichever comes first),Yes,Front,5.1 meter,NO,NO,Yes,1531 kg,Rear sensors with camera,NO,Yes,NO,NO
466,Tata,Zest,788797.00,4.00,BS IV,44.00,157.00,176.00,5.00,19.2,Ventilated Disc,Drum,Dual Path Independent McPherson strut with Coil Springs and Antiroll Bar,Twist Beam with Coil spring and Shock Absorber,Electric Power,All Windows,NO,Remote,75PS@4rpm,19Nm@175-3rpm,5,DVD Player with USB & Aux-in,2 years /75 Kms (years/distance whichever comes first),Yes,Front,5.1 meter,NO,NO,Yes,1531 kg,NO,NO,Yes,NO,NO
547,Hyundai,I2 Active,858536.00,4.00,BS IV,4.00,1555.00,176.00,5.00,15,Ventilated Disc,Drum,Mc Pherson Strut with coil spring,Coupled Torsion Beam Axle with coil spring,Electric Power,All Windows,NO,Smart Key,83PS@6rpm,114Nm@4rpm,5,CD Player with USB & Aux-in,"3 years / 1, Kms",Yes,Front,5.2 meter,NO,NO,Yes,117 kg,Rear sensors with camera,NO,Yes,NO,Yes
548,Hyundai,I2 Active,882298.00,4.00,BS IV,4.00,1555.00,176.00,5.00,15,Ventilated Disc,Drum,Mc Pherson Strut with coil spring,Coupled Torsion Beam Axle with coil spring,Electric Power,All Windows,NO,Smart Key,83PS@6rpm,114Nm@4rpm,5,CD Player with USB & Aux-in,"3 years / 1, Kms",Yes,Front,5.2 meter,NO,NO,Yes,117 kg,Rear sensors with camera,NO,Yes,NO,Yes
549,Hyundai,I2 Active,993393.00,4.00,BS IV,4.00,1555.00,176.00,5.00,21.19,Ventilated Disc,Drum,McPherson strut with coil spring,Coupled Torsion Beam Axle with coil spring,Electric Power,All Windows,NO,Smart Key,9PS@4rpm,22Nm@15-275rpm,5,CD Player with USB & Aux-in,"3 years / 1, Kms",Yes,Front,5.2 meter,NO,NO,Yes,117 kg,Rear sensors with camera,NO,Yes,NO,Yes
564,Renault,Duster,390000.00,4.00,BS IV,5.00,1695.00,1822.00,5.00,1,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,Trailing arm with coil springs & double acting shock absorber,Electro-Hydraulic,All Windows,NO,Remote,16PS@56rpm,142Nm@4rpm,5,USB & Aux-in,2 years /5 Kms (years/distance whichever comes first),Yes,Front,5.2 meter,NO,NO,Yes,1813 kg,Front and rear sensors with camera,Yes,Yes,NO,NO
568,Renault,Duster,120999.00,4.00,BS IV,5.00,1695.00,1822.00,5.00,16,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,Trailing arm with coil springs & double acting shock absorber,Yes,All Windows,NO,Remote,11PS@4rpm,245Nm@175rpm,5,USB & Aux-in,2 years /5 Kms (years/distance whichever comes first),Yes,Front,5.2 meter,NO,NO,Yes,1813 kg,Front and rear sensors with camera,Yes,Yes,NO,NO
569,Renault,Duster,124999.00,4.00,BS IV,5.00,1695.00,1822.00,5.00,16,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,Trailing arm with coil springs & double acting shock absorber,Yes,All Windows,NO,Remote,11PS@4rpm,245Nm@175rpm,5,USB & Aux-in,2 years /5 Kms (years/distance whichever comes first),Yes,Front,5.2 meter,NO,NO,Yes,1813 kg,Rear sensors with camera,Yes,Yes,NO,NO
641,Mahindra,Tuv3 Plus,992748.00,4.00,BS IV,6.00,1812.00,1835.00,5.00,18.49,Ventilated Disc,Drum,Double wishbone,Rigid Axle Multi-Link,Electric Power,All Windows,NO,Remote,12PS@4RPM,28Nm@18-28rpm,9,CD Player with USB & Aux-in,3 years /1 Kms (years/distance whichever comes first),Yes,Front,5.35 meter,NO,NO,Yes,241 kg,Yes,NO,Yes,NO,NO
642,Mahindra,Tuv3 Plus,120965.00,4.00,BS IV,6.00,1812.00,1835.00,5.00,18.49,Ventilated Disc,Drum,Double wishbone,Rigid Axle Multi-Link,Electric Power,All Windows,NO,Remote,12PS@4RPM,28Nm@18-28rpm,9,CD Player with USB & Aux-in,3 years /1 Kms (years/distance whichever comes first),Yes,Front,5.35 meter,NO,NO,Yes,241 kg,Yes,NO,Yes,NO,NO
643,Mahindra,Tuv3 Plus,114157.00,4.00,BS IV,6.00,1812.00,1835.00,5.00,18.49,Ventilated Disc,Drum,Double wishbone,Rigid Axle Multi-Link,Electric Power,All Windows,NO,Remote,12PS@4RPM,28Nm@18-28rpm,9,CD Player with USB & Aux-in,3 years /1 Kms (years/distance whichever comes first),Yes,Front,5.35 meter,NO,NO,Yes,241 kg,Yes,NO,Yes,NO,NO
